"group1","group2","F.pval","M.pval","a.pval","A.pval"
"Lys 11","TM",0.2488,0.8276,0.7098,0.7152
"Lys 11","Gifu",0.0194,0.0381,0.8546,0.1201
"TM","Gifu",0.0462,0.0381,0.7098,0.1201
