"Samples","Replicates","F","M","a","A"
"Lys 11","A",59.68,26.65,99.09,26.41
"Lys 11","B",52.56,5.29,100,5.29
"Lys 11","C",75.14,31.58,100,31.58
"TM","A",61.54,23.54,100,23.54
"TM","B",65.82,22,100,22
"TM","C",77.5,27.24,100,27.24
"Gifu","A",83.66,32.29,96.8,31.25
"Gifu","B",95.33,52.49,100,52.49
"Gifu","C",80.65,41.14,100,41.14
