"Samples","Total_mean","Hyphopodia_mean","IntrHyphae_mean","Arbuscules_mean","Vesicles_mean","Total_se","Hyphopodia_se","IntrHyphae_se","Arbuscules_se","Vesicles_se"
"WT",30,3.44444444444444,30,29.6666666666667,7.66666666666667,4.99258709748022,0.111111111111111,4.99258709748022,4.67063323488527,1.34715062810913
"cyclops-3",18.6666666666667,10,18,0,0,4.4388854123196,2.51661147842358,4.28606700488576,0,0
"cyclops-4",16,6.11111111111111,15,0,0,2.1688023662159,2.29599759108576,1.17062819476141,0,0
"ccamk-13",11.5555555555556,11.5555555555556,0,0,0,1.74624818283352,1.74624818283352,0,0,0
