"group1","group2","F.pval","M.pval","a.pval","A.pval"
"Lys 11","TM",0.2488,0.8276,0.4732,0.7152
"Lys 11","Gifu",0.0065,0.0254,0.8546,0.08
"TM","Gifu",0.0308,0.019,0.3758,0.0474
