"Samples","Mean F","Standard error F","Mean M","Standard error M","Mean a","Standar error a","Mean A","Standard error A"
"Lys 11",62.46,6.66,21.17,8.07,99.7,0.3,21.09,8.04
"TM",68.29,4.77,24.26,1.55,100,0,24.26,1.55
"Gifu",86.55,4.48,41.97,5.85,98.93,1.07,41.63,6.14
